R1,R2,R3,L1,L2,L3
7.970000005,7.810000007,7.830000006,8.01,7.73,7.32
8.120000003,7.860000006,8.060000004,7.57,7.27,7.22
7.920000005,7.690000009,7.700000009,7.69,8.21,7.47
7.880000006,7.790000007,7.710000008,7.23,7.4,8.15
,8.430000002,7.990000004,0,7.23,7.96
,7.970000005,8.210000003,7.86,7.09,5.61
,8.170000003,7.990000004,3.58,8.21,7.27
,7.910000005,8.310000002,6.52,7.89,7.4
,8.130000003,,5.54,6.14,3.42
,,,7.27,5.65,7.16
,,,0.3,7.34,7.88
,,,0,7.68,7.81
,,,4.29,7.8,8.49
,,,7.35,7.96,7.57
,,,6.38,7.05,8.28
,,,8.27,7.31,7.35
,,,7.33,7.83,7.72
,,,8.21,6.91,6.33
,,,6.99,6.78,7.81
,,,7.73,7.88,7.4
,,,0,6.78,3.66
,,,7.1,6.87,7.6
,,,7.69,7.11,7.86
,,,0,7.59,7.53
,,,4.69,8.08,8.31
,,,6.45,8.12,
,,,7.64,8.03,
,,,0,,
,,,6.8,,
,,,8.17,,
,,,7.08,,
,,,7.58,,
,,,6.94,,
,,,4.47,,
,,,7.91,,
,,,0,,
,,,8.91,,
,,,8.42,,
,,,6.77,,
,,,7.59,,
,,,8.08,,
,,,7.08,,
,,,7.63,,
,,,8.22,,
,,,7.66,,
,,,8.43,,
,,,8.96,,
,,,0,,
,,,8.92,,
,,,0,,
,,,6.45,,
,,,0,,
,,,8.26,,
,,,8.54,,
,,,8.47,,
,,,7.14,,
,,,6.92,,
